Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.5', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 177, loss: 1.477264, test acc: 0.914506, test avg acc: 0.877372
Train 178, loss: 1.330873, train acc: 0.984324, train avg acc: 0.976764
Test 178, loss: 1.472952, test acc: 0.915316, test avg acc: 0.876169
Train 179, loss: 1.329710, train acc: 0.983408, train avg acc: 0.974906
Test 179, loss: 1.470644, test acc: 0.919368, test avg acc: 0.879035
Train 180, loss: 1.329195, train acc: 0.984731, train avg acc: 0.978391
Test 180, loss: 1.471264, test acc: 0.917342, test avg acc: 0.881169
Train 181, loss: 1.326810, train acc: 0.983815, train avg acc: 0.976041
Test 181, loss: 1.469042, test acc: 0.917342, test avg acc: 0.878081
Train 182, loss: 1.327998, train acc: 0.983103, train avg acc: 0.974936
Test 182, loss: 1.475031, test acc: 0.916937, test avg acc: 0.889006
Train 183, loss: 1.326169, train acc: 0.984426, train avg acc: 0.976795
